# im ir ii xm ym wm hm lm rm
87 2 3 -0.354076 0.213086 56.100000 45.964913 70.300003 413.250000
88 2 3 -0.361576 -0.200096 56.100000 45.964913 70.300003 413.250000
89 2 3 -0.007500 -0.413182 56.100000 45.964913 70.300003 413.250000
90 2 3 0.354076 -0.213086 56.100000 45.964913 70.300003 413.250000
91 2 4 0.329447 0.249480 56.100000 45.964913 70.300003 413.250000
92 2 4 -0.051332 0.410049 56.100000 45.964913 70.300003 413.250000
93 2 4 -0.380779 0.160570 56.100000 45.964913 70.300003 413.250000
94 2 4 -0.329447 -0.249480 56.100000 45.964913 70.300003 413.250000
95 2 4 0.051332 -0.410049 56.100000 45.964913 70.300003 413.250000
96 2 4 0.380779 -0.160570 56.100000 45.964913 70.300003 413.250000
97 2 5 0.290623 0.293792 56.100000 45.964913 70.300003 413.250000
98 2 5 -0.109120 0.398583 56.100000 45.964913 70.300003 413.250000
99 2 5 -0.399743 0.104791 56.100000 45.964913 70.300003 413.250000
100 2 5 -0.290623 -0.293792 56.100000 45.964913 70.300003 413.250000
101 2 5 0.109120 -0.398583 56.100000 45.964913 70.300003 413.250000
102 2 5 0.399743 -0.104791 56.100000 45.964913 70.300003 413.250000
103 2 6 0.245891 0.332134 56.100000 45.964913 70.300003 413.250000
104 2 6 -0.164691 0.379015 56.100000 45.964913 70.300003 413.250000
105 2 6 -0.410582 0.046881 56.100000 45.964913 70.300003 413.250000
106 2 6 -0.245891 -0.332134 56.100000 45.964913 70.300003 413.250000
107 2 6 0.164691 -0.379015 56.100000 45.964913 70.300003 413.250000
108 2 6 0.410582 -0.046881 56.100000 45.964913 70.300003 413.250000
109 3 0 0.474249 0.032337 56.100000 46.723169 61.123768 475.350000
110 3 0 0.209120 0.426880 56.100000 46.723169 61.123768 475.350000
111 3 0 -0.265129 0.394543 56.100000 46.723169 61.123768 475.350000
112 3 0 -0.474249 -0.032337 56.100000 46.723169 61.123768 475.350000
113 3 0 -0.209120 -0.426880 56.100000 46.723169 61.123768 475.350000
114 3 0 0.265129 -0.394543 56.100000 46.723169 61.123768 475.350000
115 3 1 0.466459 0.091510 56.100000 46.723169 61.123768 475.350000
