  1    1.00800    1.00000
  12    3.70000E-12   0.693000    1.10000E-02   100000.0  0.    1.00000    1905.09    1.54912E-19    2.82224
  11    5.50000E-12   0.821000    1.40000E-02    1.20000E+06  0.    1.00000    1927.63    1.53100E-19    2.82457
  10    1.20000E-11   0.735000    7.80000E-03    5.50000E+06   10.00000   1000000.    1952.63    1.51141E-19    2.82711
  9    2.10000E-11   0.716000    1.60000E-02    490000.    4.00000    1.30000E+06    1980.63    1.49003E-19    2.82993
  8    3.00000E-11   0.702000    2.30000E-02    420000.    8.00000    1.70000E+06    2012.42    1.46650E-19    2.83309
  7    4.30000E-11   0.688000    1.10000E-02    380000.    6.30000    600000.    2049.08    1.44026E-19    2.83667
  6    5.80000E-11   0.703000    1.10000E-02    370000.    6.00000    1.10000E+06    2092.22    1.41056E-19    2.84081
  5    7.70000E-11   0.714000    4.80000E-02    420000.    5.00000    2.50000E+06    2144.43    1.37622E-19    2.84572
  4    1.20000E-10   0.855000    1.80000E-02    250000.   10.50000    2.80000E+06    2210.09    1.33533E-19    2.85173
  3    1.50000E-10   0.831000   0.340000    1.90000E+07   0.200000    3.10000E+06    2297.73    1.28440E-19    2.85951
  2    2.10000E-10   0.765000   0.210000    2.00000E+07   0.200000    4.40000E+06    2427.19    1.21590E-19    2.87050
  1    8.02000E-11   0.726000  0.    1.00000  0.    1.00000    2665.60    1.10715E-19    2.88939
  16    32.0600    1.90500E-05
  16    4.10000E-13   0.630000    7.30000E-05    110000.  0.    1.00000    2516.33    1.17282E-19    2.87775
  15    1.80000E-12   0.686000    4.90000E-03    120000.    2.50000    88000.0    2535.42    1.16399E-19    2.87928
  14    2.70000E-12   0.745000    9.10000E-03    130000.    6.00000    150000.    2555.99    1.15462E-19    2.88091
  13    5.70000E-12   0.755000    4.30000E-02    180000.  0.    1.00000    2578.27    1.14465E-19    2.88266
  12    1.20000E-11   0.701000    2.50000E-02    150000.  0.    1.00000    2602.55    1.13397E-19    2.88455
  11    1.70000E-11   0.849000    3.10000E-02    1.90000E+06  0.    1.00000    2629.20    1.12247E-19    2.88661
  10    2.70000E-11   0.733000    1.30000E-02    670000.    22.0000    1.80000E+06    2658.72    1.11001E-19    2.88886
  9    4.00000E-11   0.696000    2.10000E-02    590000.    6.40000    2.00000E+06    2691.72    1.09640E-19    2.89136
  8    5.50000E-11   0.711000    3.50000E-02    550000.    13.0000    2.30000E+06    2729.11    1.08138E-19    2.89415
  7    7.40000E-11   0.716000    3.00000E-02    470000.    6.80000    1.20000E+06    2772.12    1.06460E-19    2.89732
  6    7.20000E-11   0.714000    3.10000E-02    420000.    6.30000    1.30000E+06    2822.62    1.04556E-19    2.90099
  5    1.40000E-10   0.755000    6.30000E-02    500000.    4.10000    3.40000E+06    2883.53    1.02347E-19    2.90532
  4    1.70000E-10   0.832000    2.30000E-02    300000.    12.0000    3.60000E+06    2959.88    9.97072E-20    2.91064
  3    2.50000E-10   0.852000   0.420000    2.40000E+07   0.200000    4.60000E+06    3061.29    9.64041E-20    2.91752
  2    3.30000E-10   0.783000   0.250000    2.50000E+07   0.200000    5.50000E+06    3210.16    9.19335E-20    2.92723
  1    1.05000E-10   0.726000  0.    1.00000  0.    1.00000    3481.60    8.47659E-20    2.94391
  26    55.8470    3.31100E-05
  26    1.42000E-13   0.891000    1.58000E-03    60000.0   0.456000    89700.0    7465.85    3.95294E-20    3.10539
  25    1.02000E-12   0.843000    8.38000E-03    194000.   0.323000    171000.    7484.58    3.94305E-20    3.10593
  24    3.32000E-12   0.746000    1.54000E-02    331000.   0.310000    273000.    7504.13    3.93278E-20    3.10650
  23    7.80000E-12   0.682000    3.75000E-02    432000.   0.411000    349000.    7524.56    3.92210E-20    3.10709
  22    1.51000E-11   0.699000   0.117000    628000.   0.359000    529000.    7545.97    3.91098E-20    3.10771
  21    2.62000E-11   0.728000   0.254000    750000.    9.75000E-02    469000.    7568.43    3.89937E-20    3.10835
  20    4.12000E-11   0.759000   0.291000    773000.   0.229000    654000.    7592.06    3.88723E-20    3.10903
  19    6.05000E-11   0.790000   0.150000    262000.    4.20000    1.32000E+06    7616.98    3.87451E-20    3.10975
  18    8.13000E-11   0.810000   0.140000    250000.    3.30000    1.33000E+06    7643.34    3.86115E-20    3.11050
  17    1.09000E-10   0.829000    1.00000E-01    257000.    5.30000    1.41000E+06    7671.30    3.84708E-20    3.11129
  16    1.33000E-10   0.828000   0.200000    284000.    1.50000    1.52000E+06    7701.08    3.83220E-20    3.11214
  15    1.64000E-10   0.834000   0.240000    869000.   0.700000    1.51000E+06    7732.90    3.81644E-20    3.11303
  14    2.00000E-10   0.836000   0.236000    421000.   0.600000    1.82000E+06    7767.06    3.79965E-20    3.11400
  13    2.41000E-10   0.840000   0.190000    457000.   0.500000    1.84000E+06    7803.92    3.78170E-20    3.11503
  12    2.89000E-10   0.846000   0.120000    285000.    1.00000    2.31000E+06    7843.93    3.76241E-20    3.11614
  11    3.42000E-10   0.850000   0.350000    818000.  0.    1.00000    7887.66    3.74155E-20    3.11736
  10    3.87000E-10   0.836000    6.60000E-02    1.51000E+06    7.80000    9.98000E+06    7935.84    3.71884E-20    3.11869
  9    4.52000E-10   0.824000    1.00000E-01    1.30000E+06    6.30000    9.98000E+06    7989.44    3.69389E-20    3.12015
  8    5.25000E-10   0.816000   0.130000    1.19000E+06    5.50000    1.00000E+07    8049.80    3.66619E-20    3.12180
  7    6.07000E-10   0.811000   0.230000    1.09000E+06    3.60000    1.10000E+07    8118.77    3.63505E-20    3.12366
  6    6.98000E-10   0.880000   0.140000    962000.    4.90000    8.34000E+06    8199.13    3.59942E-20    3.12582
  5    7.72000E-10   0.800000   0.110000    723000.    1.60000    1.01000E+07    8295.19    3.55773E-20    3.12837
  4    7.86000E-10   0.718000    4.10000E-02    423000.    4.20000    1.07000E+07    8414.31    3.50737E-20    3.13149
  3    8.57000E-10   0.677000   0.747000    5.84000E+07   0.284000    1.17000E+06    8570.40    3.44349E-20    3.13552
  2    9.46000E-10   0.732000   0.519000    6.01000E+07   0.279000    9.97000E+06    8795.33    3.35543E-20    3.14122
  1    2.76000E-10   0.726000  0.    1.00000  0.    1.00000    9193.60    3.21007E-20    3.15097
