 i         r         g        b
 177    1.00000    1.00000    0.08235
 178    1.00000    1.00000    0.09412
 179    1.00000    1.00000    0.10588
 180    1.00000    1.00000    0.11765
 181    1.00000    1.00000    0.12941
 182    1.00000    1.00000    0.14118
 183    1.00000    1.00000    0.15294
 184    1.00000    1.00000    0.16471
 185    1.00000    1.00000    0.17647
 186    1.00000    1.00000    0.18824
 187    1.00000    1.00000    0.20000
 188    1.00000    1.00000    0.21176
 189    1.00000    1.00000    0.22353
 190    1.00000    1.00000    0.23529
 191    1.00000    1.00000    0.24706
 192    1.00000    1.00000    0.25882
 193    1.00000    1.00000    0.27059
 194    1.00000    1.00000    0.28235
 195    1.00000    1.00000    0.29412
 196    1.00000    1.00000    0.30588
 197    1.00000    1.00000    0.31765
 198    1.00000    1.00000    0.32941
 199    1.00000    1.00000    0.34118
 200    1.00000    1.00000    0.35294
 201    1.00000    1.00000    0.36471
 202    1.00000    1.00000    0.37647
 203    1.00000    1.00000    0.38824
 204    1.00000    1.00000    0.40000
 205    1.00000    1.00000    0.41176
 206    1.00000    1.00000    0.42353
 207    1.00000    1.00000    0.43529
 208    1.00000    1.00000    0.44706
 209    1.00000    1.00000    0.45882
 210    1.00000    1.00000    0.47059
 211    1.00000    1.00000    0.48235
 212    1.00000    1.00000    0.49412
 213    1.00000    1.00000    0.50588
 214    1.00000    1.00000    0.51765
 215    1.00000    1.00000    0.52941
 216    1.00000    1.00000    0.54118
 217    1.00000    1.00000    0.55294
 218    1.00000    1.00000    0.56471
 219    1.00000    1.00000    0.57647
 220    1.00000    1.00000    0.58824
 221    1.00000    1.00000    0.60000
 222    1.00000    1.00000    0.61176
 223    1.00000    1.00000    0.62353
 224    1.00000    1.00000    0.63529
 225    1.00000    1.00000    0.64706
 226    1.00000    1.00000    0.65882
 227    1.00000    1.00000    0.67059
 228    1.00000    1.00000    0.68235
 229    1.00000    1.00000    0.69412
 230    1.00000    1.00000    0.70588
 231    1.00000    1.00000    0.71765
 232    1.00000    1.00000    0.72941
 233    1.00000    1.00000    0.74118
 234    1.00000    1.00000    0.75294
 235    1.00000    1.00000    0.76471
 236    1.00000    1.00000    0.77647
 237    1.00000    1.00000    0.78824
 238    1.00000    1.00000    0.80000
 239    1.00000    1.00000    0.81176
 240    1.00000    1.00000    0.82353
 241    1.00000    1.00000    0.83529
 242    1.00000    1.00000    0.84706
 243    1.00000    1.00000    0.85882
 244    1.00000    1.00000    0.87059
 245    1.00000    1.00000    0.88235
 246    1.00000    1.00000    0.89412
 247    1.00000    1.00000    0.90588
 248    1.00000    1.00000    0.91765
 249    1.00000    1.00000    0.92941
 250    1.00000    1.00000    0.94118
 251    1.00000    1.00000    0.95294
 252    1.00000    1.00000    0.96471
 253    1.00000    1.00000    0.97647
 254    1.00000    1.00000    0.98824
 255    1.00000    1.00000    1.00000
