     1.3333E-01     2.3014E+05
     3.2265E+00     5.7338E+00
     5.4147E+00     7.6328E-01
     6.4038E+00     3.9330E-01
     8.0477E+00     1.5779E-01
     1.7480E+01     6.9495E-03
     2.2164E+01     2.6169E-03
2P3/2    2     7.1000E-03
     7.8161E-03     1.0673E+07
     1.1999E-02     8.6379E+06
     2.8400E-02     3.9539E+06
     1.3333E-01     2.2898E+05
     3.2265E+00     5.6549E+00
     5.4147E+00     7.4579E-01
     6.4038E+00     3.8334E-01
     8.0477E+00     1.5388E-01
     1.7480E+01     6.5923E-03
     2.2164E+01     2.5016E-03
  2.8604 12.7907  2.5212  5.4279  1.5296  0.3282  0.8135 34.9406  0.2742
MG  4  24.31     -0.018    12.0
 1S1/2   0     1.3050E+00
     1.3692E+00     1.9281E+05
     1.6965E+00     1.1037E+05
     2.6100E+00     3.5753E+04
     5.4147E+00     4.6250E+03
     5.6551E+00     4.0779E+03
     6.4038E+00     2.8379E+03
     8.0477E+00     1.4460E+03
     1.7480E+01     1.3672E+02
     2.2164E+01     6.5256E+01
     2.7819E+01     3.1945E+01
 2S1/2   2     8.9400E-02
     9.8417E-02     4.8782E+05
     1.5108E-01     4.3674E+05
     3.5760E-01     1.3933E+05
     1.6788E+00     5.5600E+03
     5.4147E+00     2.5743E+02
     6.4038E+00     1.6061E+02
     8.0477E+00     8.3536E+01
     1.7480E+01     8.3205E+00
     2.2164E+01     4.0301E+00
     4.0626E+01     6.1542E-01
 2P1/2   2     5.1400E-02
     5.6584E-02     1.1206E+06
     8.6865E-02     2.1115E+06
     2.0560E-01     4.5085E+05
     9.6521E-01     5.7387E+03
     5.4147E+00     1.3640E+01
     6.4038E+00     7.2514E+00
     8.0477E+00     3.0268E+00
     1.7480E+01     1.4629E-01
     2.2164E+01     5.7078E-02
     2.3358E+01     4.6360E-02
 2P3/2   2     5.1400E-02
     5.6584E-02     2.2569E+06
     8.6865E-02     4.2292E+06
     2.0560E-01     8.9651E+05
     9.6521E-01     1.1313E+04
     5.4147E+00     2.6474E+01
     6.4038E+00     1.4041E+01
     8.0477E+00     5.8513E+00
     1.7480E+01     2.7698E-01
     2.2164E+01     1.0724E-01
     2.3358E+01     8.6936E-02
  6.2315  3.2333  2.0258 78.1350  1.5585  0.6499  1.1411 11.1819  1.0306
AL  6  26.98150  -0.02100  13.00000
 1S1/2   0     1.5596E+00
     1.6364E+00     1.5770E+05
     2.0275E+00     9.0490E+04
     3.1192E+00     2.9196E+04
     5.4147E+00     6.2822E+03
     6.4038E+00     3.8770E+03
     6.7584E+00     3.3159E+03
     8.0477E+00     1.9899E+03
     1.7480E+01     1.9215E+02
     2.2164E+01     9.2198E+01
     3.3247E+01     2.5910E+01
 2S1/2   2     1.1770E-01
     1.2957E-01     4.9416E+05
     1.9691E-01     3.6961E+05
     4.7080E-01     1.0403E+05
     2.2102E+00     3.7840E+03
     5.4147E+00     3.6181E+02
     6.4038E+00     2.2728E+02
     8.0477E+00     1.1927E+02
     1.7480E+01     1.2196E+01
     2.2164E+01     5.9428E+00
     5.3486E+01     3.8438E-01
 2P1/2   2     7.3100E-02
     8.0473E-02     1.4330E+06
     1.2354E-01     1.5924E+06
     2.9240E-01     2.6959E+05
     1.3727E+00     2.9296E+03
     5.4147E+00     2.3753E+01
     6.4038E+00     1.2721E+01
     8.0477E+00     2.3660E+00
     1.7480E+01     2.6653E-01
     2.2164E+01     1.0462E-01
     3.3219E+01     2.1483E-02
 2P3/2   2     7.3100E-02
     8.0473E-02     2.8841E+06
     1.2354E-01     3.1863E+06
     2.9240E-01     5.3523E+05
     1.3727E+00     5.7581E+03
     5.4147E+00     4.6019E+01
     6.4038E+00     2.4585E+01
     8.0477E+00     1.0347E+01
     1.7480E+01     5.0325E-01
